Vragen,Antwoorden,Questions_EN,Answers_EN
"Reis jij weleens met de trein? Waar ga je naartoe?","Ja, ik reis (soms/weleens) met de trein. Ik ga bijvoorbeeld naar Amsterdam.","Do you ever travel by train? Where do you go?","Yes, I (sometimes) travel by train. I go to Amsterdam, for example."
"Reis jij weleens met de bus? Waar ga je naartoe?","Ja, ik reis soms met de bus. Ik ga naar de markt in Almere Centrum","Do you ever travel by bus? Where do you go?","Yes, I sometimes travel by bus. I go to the market in Almere Center"
"Reis jij weleens met het vliegtuig? Waar ga je naartoe?","Ja, ik reis één keer per drie jaar met het vliegtuig tussen Pakistan en Nederland","Do you ever travel by plane? Where do you go?","Yes, I travel by plane once every three years between Pakistan and the Netherlands"
"Reis je weleens met de fiets? Waar ga je naartoe?","Ja, ik reis soms met de fiets naar fysiotherapie","Do you ever travel by bike? Where do you go?","Yes, I sometimes travel by bike to physiotherapy"
"Heb je een rijbewijs?","Ja, ik heb een rijbewijs","Do you have a driver's license?","Yes, I have a driver's license"
"Rij je weleens met de auto? Waar ga je naartoe?","Ja, ik rij met de auto naar mijn werk","Do you ever drive by car? Where do you go?","Yes, I drive by car to my work"
"Ben jij weleens te laat? Waarom?","Ja, ik ben soms te laat, maar bijna nooit","Are you ever late? Why?","Yes, I am sometimes late, but almost never"
"Heb je een auto?","Ja, ik heb een auto","Do you have a car?","Yes, I have a car"
"Wat vind je beter: de auto of het openbaar vervoer? Waarom?","Ik vind het openbaar vervoer beter, want het is goedkoper","What do you think is better: the car or public transport? Why?","I think public transport is better, because it is cheaper"
"Hoe vaak reis je met de trein?","Ik reis twee keer per jaar met de trein","How often do you travel by train?","I travel by train twice a year"
"Hoe vaak reis je met de bus?","Ik reis twee keer per week met de bus","How often do you travel by bus?","I travel by bus twice a week"
"Hoe vaak reis je met de auto?","Ik reis twee keer per week de auto","How often do you travel by car?","I travel by car twice a week"
"Reis je weleens met de taxi? Waar ga je naartoe?","Ja, ik reis met de taxi. Ik reis met de taxi naar Schiphol","Do you ever travel by taxi? Where do you go?","Yes, I travel by taxi. I travel by taxi to Schiphol"
"Reis je weleens met de tram? Waar ga je naartoe?","(Nou,) ik reis bijna nooit met de tram. Ik reis met de tram als ik in Amsterdam ben","Do you ever travel by tram? Where do you go?","(Well,) I almost never travel by tram. I travel by tram when I am in Amsterdam"
"Hoe vaak per week reis je met de auto?","Ik reis drie keer per week met de auto","How often per week do you travel by car?","I travel by car three times a week"
"Hoe vaak per week reis je met het openbaar vervoer?","Ik reis twee keer per week met het openbaar vervoer","How often per week do you travel by public transport?","I travel by public transport twice a week"
"Hoe reis jij naar de supermarkt?","Ik loop naar de supermarkt","How do you travel to the supermarket?","I walk to the supermarket"
"Hoe reis jij naar de school van je kind?","Ik loop met mijn kind naar de school","How do you travel to your child's school?","I walk with my child to the school"
"Hoe reis jij naar je werk?","Ik reis met mijn scooter naar mijn werk","How do you travel to your work?","I travel to my work with my scooter"
"Hoe laat vertrek je van huis voor je werk?","Ik vertrek om 8 uur","What time do you leave home for work?","I leave at 8 o'clock"
"Hoe lang duurt de reis naar je werk?","Ik reis in één uur naar mijn werk","How long does the journey to your work take?","I travel to my work in one hour"
"Hoe laat vertrek je van je werk?","Om vijf uur vertrek ik van mijn werk","What time do you leave from your work?","At five o'clock I leave from my work"
